sample-id	Group
SF001	Unclean_Denture
SF002	Clean_Denture
SF003	Unclean_Denture
SF004	Clean_Denture
SF005	Clean_Denture
SF006	Unclean_Denture
SF007	Unclean_Denture
SF008	Clean_Denture
SF009	Unclean_Denture
SF010	Unclean_Denture
SF011	Clean_Denture
SF012	Clean_Denture
SF013	Unclean_Denture
SF014	Clean_Denture
SF015	Clean_Denture
SF016	Unclean_Denture
SF017	Unclean_Denture
SF018	Unclean_Denture
SF019	Clean_Denture
SF020	Clean_Denture
SF021	Unclean_Denture
SF022	Unclean_Denture
SF023	Clean_Denture
SF024	Unclean_Denture
SF025	Clean_Denture
SF026	Clean_Denture
SF027	Clean_Denture
SF028	Unclean_Denture
SF029	Clean_Denture
SF030	Clean_Denture
SF031	Clean_Denture
SF032	Clean_Denture
SF033	Clean_Denture
SF034	Clean_Denture
SF035	Clean_Denture
SF036	Unclean_Denture
SF037	Clean_Denture
SF038	Clean_Denture
SF039	Unclean_Denture
SF040	Clean_Denture
SF041	Unclean_Denture
SF042	Clean_Denture
SF043	Clean_Denture
SF044	Clean_Denture
SF045	Unclean_Denture
SF046	Clean_Denture
SF047	Clean_Denture
SF048	Unclean_Denture
SF049	Clean_Denture
SF050	Clean_Denture
SF051	Clean_Denture
SF052	Clean_Denture
SF053	Clean_Denture
SF054	Unclean_Denture
SF055	Unclean_Denture
SF056	Clean_Denture
SF057	Unclean_Denture
SF058	Clean_Denture
SF059	Unclean_Denture
SF060	Unclean_Denture
SF061	Clean_Denture
SF062	Unclean_Denture
SF063	Clean_Denture
SF064	Clean_Denture
SF065	Clean_Denture
SF066	Clean_Denture
SF067	Clean_Denture
SF068	Unclean_Denture
SF069	Clean_Denture
SF070	Unclean_Denture
SF071	Clean_Denture
SF072	Unclean_Denture
SF073	Clean_Denture
SF074	Clean_Denture
SF075	Clean_Denture
SF076	Clean_Denture
SF077	Clean_Denture
SF078	Unclean_Denture
SF079	Unclean_Denture
SF080	Unclean_Denture
SF081	Unclean_Denture
SF082	Unclean_Denture
SF083	Unclean_Denture
SF084	Clean_Denture
SF085	Clean_Denture
SF086	Clean_Denture
SF087	Unclean_Denture
SF088	Clean_Denture
SF089	Unclean_Denture
SF090	Unclean_Denture
SF091	Unclean_Denture
SF092	Unclean_Denture
SF093	Unclean_Denture
SF094	Clean_Denture
SF095	Unclean_Denture
SF096	Clean_Denture
SF097	Unclean_Denture
