sample	genome_id	genome	enzyme	window	contig_id	start	end	global_mid	anchors_per_window	n_anchors	n_positive	detected_fraction	rate	se	log2_rate	log2_se	model	dispersion	mean_gc	mean_gc_offset	log2_rate_raw	gc_corrected
M1_2x	0	ecoli	AlfI	(0, 0)	0	6298	165018	82203.93671	79	79	70	0.8860759494	2.055300446	0.1914946358	0.978199265	0.1344175067	ztp	0.5906895037	0.5302531646	0.06115003867	1.039349304	True
M1_2x	0	ecoli	AlfI	(0, 1)	0	166400	375313	264548.7848	79	79	67	0.8481012658	2.075245074	0.1964120007	0.9329398626	0.1365441716	ztp	0.7512864494	0.5370253165	0.1203418576	1.05328172	True
M1_2x	0	ecoli	AlfI	(0, 2)	0	377804	549792	458939.3797	79	79	68	0.8607594937	1.632968619	0.1789283687	0.73234868	0.158079627	ztp	0.5143845987	0.5173417722	-0.02485161304	0.7074970669	True
M1_2x	0	ecoli	AlfI	(0, 3)	0	551060	716811	625328.4557	79	79	59	0.746835443	1.455430833	0.1842493416	0.5331030282	0.182637062	ztp	0.5575738916	0.5215189873	0.008343251378	0.5414462796	True
M1_2x	0	ecoli	AlfI	(0, 4)	0	717912	860821	788900.519	79	79	55	0.6962025316	1.054411458	0.1692222745	0.03451700738	0.2315378254	ztp	0.4003329172	0.5274683544	0.04192094607	0.07643795345	True
M1_2x	0	ecoli	AlfI	(0, 5)	0	861846	1036878	945384.8228	79	79	59	0.746835443	1.265408497	0.1750092843	0.3362699351	0.1995284741	ztp	0.6717506631	0.5222151899	0.00333325321	0.3396031883	True
M1_2x	0	ecoli	AlfI	(0, 6)	0	1039207	1222930	1117328.823	79	79	55	0.6962025316	0.00116570385	0.0003416733277	-9.709825892	0.4228607597	ztnb	0.634984382	0.5147468354	-0.03475707846	-9.74458297	True
M1_2x	0	ecoli	AlfI	(0, 7)	0	1228168	1401269	1325801.253	79	79	50	0.6329113924	0.8742174658	0.1650162906	-0.1981575171	0.2723214686	ztp	0.4149659864	0.5215822785	0.004221623942	-0.1939358932	True
M1_2x	0	ecoli	AlfI	(0, 8)	0	1401395	1597799	1488996.367	79	79	39	0.4936708861	0.8542023671	0.1851399766	-0.04546505358	0.3126899859	ztp	0.3847549909	0.493164557	-0.1818851455	-0.2273501991	True
M1_2x	0	ecoli	AlfI	(0, 9)	0	1598961	1801120	1711654.823	79	79	47	0.5949367089	0.7565636009	0.1606472364	-0.2976766238	0.3063390453	ztp	0.3582089552	0.5044936709	-0.1047901027	-0.4024667264	True
M1_2x	0	ecoli	AlfI	(0, 10)	0	1802177	1990605	1892716.506	79	79	44	0.5569620253	0.618470063	0.1528317115	-0.5793536928	0.3565080438	ztp	0.2408356326	0.5036708861	-0.1138706386	-0.6932243314	True
M1_2x	0	ecoli	AlfI	(0, 11)	0	1993765	2174160	2085348.62	79	79	51	0.6455696203	1.183567836	0.1835957005	0.2633554775	0.2237916565	ztp	0.4524137931	0.5170886076	-0.02021308073	0.2431423968	True
M1_2x	0	ecoli	AlfI	(0, 12)	0	2174863	2334782	2257778.861	79	79	58	0.7341772152	1.308620095	0.1787209929	0.4214333139	0.1970318897	ztp	0.8171390013	0.5168987342	-0.03338698448	0.3880463294	True
M1_2x	0	ecoli	AlfI	(0, 13)	0	2336891	2502483	2419866.797	79	79	56	0.7088607595	1.47248097	0.1899239841	0.6234095092	0.1860821264	ztp	0.6142735769	0.5089240506	-0.06516051998	0.5582489892	True
M1_2x	0	ecoli	AlfI	(0, 14)	0	2503025	2659668	2582379.899	79	79	65	0.8227848101	1.510412761	0.1779225021	0.5311708328	0.1699455394	ztp	0.6750992063	0.530443038	0.06377202596	0.5949428588	True
M1_2x	0	ecoli	AlfI	(0, 15)	0	2671583	2844807	2763927.962	79	79	63	0.7974683544	1.376353704	0.1746988856	0.4138632896	0.1831195101	ztp	0.5467185762	0.526835443	0.04698798062	0.4608512702	True
M1_2x	0	ecoli	AlfI	(0, 16)	0	2845052	3002097	2917865.759	79	79	57	0.7215189873	1.936934738	0.2077600746	0.934650897	0.154746788	ztp	0.8289036545	0.5246835443	0.01912444825	0.9537753452	True
M1_2x	0	ecoli	AlfI	(0, 17)	0	3003753	3190681	3089876.139	79	79	59	0.746835443	1.706282084	0.1951484106	0.7750373926	0.165001817	ztp	0.6498458088	0.5212025316	-0.004181218311	0.7708561743	True
